Day,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016/11/18,930,840,900,810,820,1050,850,1010,980,1240,1770,1840,2050,1940,1930,2120,1970,2110,1890,1770,1720,1430,1250,1040
2016/11/21,740,840,730,800,760,900,760,950,900,1240,1460,1870,1810,2070,1970,2130,1910,2130,2030,1740,1710,1410,1230,1010
2016/11/22,920,810,880,800,880,940,880,930,1070,1230,1750,1770,1830,2060,1910,2050,1870,2080,1820,1860,1600,1590,1160,1120
2016/11/23,840,880,820,800,880,950,890,830,940,970,1200,1220,1430,1340,1520,1380,1540,1420,1360,1450,1270,1330,1040,1050
2016/11/24,790,850,800,840,790,1000,800,990,980,1380,1720,2200,2300,2300,2450,2330,2560,2300,2300,2070,1980,1560,1300,1050
2016/11/25,960,850,920,830,890,1010,860,1030,990,1380,1720,2170,2090,2350,2160,2340,2180,2300,2220,1990,1910,1580,1330,1050
2016/11/28,760,810,820,750,800,740,820,940,880,1270,1600,2020,2190,2070,2320,2300,2140,2270,1980,2080,1900,1580,1250,1050
2016/11/29,920,870,790,850,780,1020,880,920,1010,1220,1800,2060,1950,2260,2060,2250,2290,2030,2070,1820,1810,1660,1210,1160
2016/11/30,930,820,900,820,880,1050,830,1030,950,1330,1910,1960,2210,2290,2130,2390,2360,2090,2090,1890,1910,1640,1210,1170
2016/12/1,840,890,890,810,890,970,910,930,1040,1360,1640,2070,1970,2200,2230,2110,2240,2090,2060,1950,1660,1610,1190,1170
2016/12/2,930,830,900,830,900,1060,850,1020,960,1340,1820,1880,2140,1990,2140,2160,1990,2130,1900,1940,1800,1500,1310,1130
2016/12/5,850,830,760,840,850,900,770,960,970,1220,1690,1860,1990,1870,2070,2110,1870,2090,1910,1830,1530,1550,1260,1000
2016/12/6,910,890,880,800,880,1020,880,930,1040,1330,1720,1780,1970,2040,2060,1870,2080,2090,1820,1880,1870,1520,1320,1170
2016/12/7,860,910,910,810,910,1050,850,1030,1060,1240,1890,2110,1980,2230,2220,2250,2060,2190,1940,2060,1900,1550,1300,1150
2016/12/8,830,910,900,810,900,1050,930,950,1040,1260,1830,2020,2100,1980,2240,2230,1990,2220,2110,1810,1850,1660,1200,1100
2016/12/9,920,820,880,890,800,1030,910,990,950,1330,1780,1880,2090,1950,2140,2190,1970,2120,2030,1710,1790,1630,1160,1100
2016/12/12,820,760,850,730,840,940,770,880,1040,1230,1630,2140,2000,2330,2220,2400,2200,2190,2170,1930,1970,1570,1340,1070
2016/12/13,930,900,900,820,900,970,920,1010,950,1380,1770,2160,2210,2080,2250,2060,2230,2250,1870,1970,1660,1670,1180,1160
2016/12/14,950,860,920,910,850,1060,830,1020,1040,1260,1900,2070,2030,2330,2180,2360,2330,2140,2160,2120,1760,1690,1240,1180
2016/12/15,940,830,910,830,910,990,940,1020,980,1250,1900,1960,2300,2160,2350,2170,2150,2410,2020,1930,1980,1640,1320,1090
2016/12/16,870,910,830,910,820,1000,940,940,1070,1280,1780,2230,2190,2430,2280,2260,2510,2320,2390,2020,2020,1680,1270,1200
2016/12/19,880,800,790,780,850,790,810,940,1040,1260,1740,1940,2060,2340,2220,2220,2170,2410,1950,1910,1760,1670,1200,1100
2016/12/20,900,960,840,860,870,1090,850,980,1020,1310,2000,2040,2130,2230,2380,2110,2120,2130,2160,1850,1670,1550,1330,1080
