年度,No.,性別,メーカー,信頼できる,親しみやすい,個性的である,洗練されてる,都会的である,先進性がある,性能が優れている,デザインが良い,品質が良い,シンプルである
24,112,男性,日立,4,5,5,3,5,3,2,4,2,2
24,113,男性,日立,5,3,3,4,3,3,5,3,4,5
24,114,男性,日立,4,4,2,3,3,3,4,3,4,3
24,115,男性,日立,4,2,2,3,2,4,4,3,4,2
24,116,男性,日立,3,2,3,3,4,4,4,4,4,4
24,117,男性,日立,3,4,3,4,3,4,4,4,4,3
24,118,女性,日立,3,3,3,3,3,3,3,3,3,3
24,119,男性,日立,1,1,1,1,1,1,1,2,1,1
24,120,男性,日立,3,3,3,3,3,3,4,3,4,4
23,1,男性,東芝,2,3,2,2,2,3,2,2,3,2
23,2,男性,東芝,4,4,4,4,4,4,4,4,4,4
23,3,男性,東芝,4,3,2,2,2,2,4,2,4,4
23,4,男性,東芝,5,4,4,4,3,5,5,4,5,4
23,5,男性,東芝,3,2,2,1,2,3,1,3,1,3
23,6,男性,東芝,3,3,3,3,3,3,3,3,3,3
23,7,女性,東芝,4,3,5,4,5,4,5,5,5,5
23,8,女性,東芝,5,5,3,5,4,3,5,5,5,5
23,9,男性,東芝,3,3,3,3,3,3,3,3,3,3
23,10,女性,東芝,4,4,4,2,4,3,3,3,4,4
23,11,女性,東芝,2,3,1,1,1,5,3,3,4,4
23,12,男性,東芝,4,3,5,4,5,3,4,4,5,3
23,13,男性,東芝,4,3,3,4,3,4,5,4,5,5
23,14,男性,東芝,5,3,3,4,4,4,4,3,5,3
23,15,男性,東芝,1,4,1,3,3,4,1,3,2,1
23,16,男性,東芝,4,4,3,4,4,5,4,4,3,3
23,17,男性,東芝,4,4,3,3,1,3,4,5,4,4
23,18,男性,東芝,3,3,2,3,4,2,2,3,3,3
23,19,男性,東芝,1,1,1,2,1,1,1,1,2,1
23,20,男性,東芝,2,1,2,2,2,1,1,1,2,2
23,21,男性,東芝,4,2,3,4,2,4,3,4,2,3
23,22,男性,東芝,5,4,4,5,4,5,5,5,5,5
23,23,男性,東芝,3,3,3,3,3,3,3,3,3,3
23,24,女性,東芝,4,3,3,4,5,4,4,5,5,5
23,25,男性,東芝,4,4,3,4,2,3,3,5,4,3
23,26,男性,東芝,1,3,3,3,2,2,1,4,1,2
23,27,男性,東芝,3,3,3,4,4,3,3,3,3,3
23,28,女性,東芝,2,2,2,2,2,2,2,2,2,2
23,29,女性,東芝,2,3,2,2,3,2,2,3,2,2
23,30,男性,東芝,3,4,3,3,3,3,3,3,3,3
23,31,女性,東芝,3,4,4,4,4,4,5,4,4,4
23,32,男性,東芝,4,3,4,5,2,4,5,2,4,5
23,33,女性,東芝,4,4,3,4,3,4,4,4,3,3
23,34,女性,東芝,3,3,2,4,2,3,4,2,4,3
23,35,男性,東芝,4,3,3,3,4,4,4,4,4,3
23,36,男性,東芝,4,3,3,3,2,3,3,2,3,3
23,37,女性,東芝,3,3,3,3,3,3,3,3,3,3
23,38,男性,東芝,4,2,3,3,4,3,4,4,5,5
23,39,男性,東芝,4,3,4,3,2,3,3,3,4,4
23,40,女性,東芝,5,5,5,5,5,5,5,5,5,5
23,41,女性,東芝,5,4,3,4,3,3,4,3,4,3
23,42,男性,東芝,2,5,5,3,2,2,4,3,4,4
23,43,男性,東芝,1,1,2,1,1,1,2,3,1,2
23,44,男性,東芝,5,3,3,3,4,3,3,3,3,3
23,45,男性,東芝,1,1,2,2,2,2,1,1,1,2
23,46,男性,東芝,3,3,2,2,2,3,3,2,2,2
23,47,男性,東芝,3,3,3,4,3,3,3,3,4,3
23,48,男性,東芝,2,3,3,3,4,2,5,4,3,5
23,49,男性,東芝,2,4,4,3,4,4,4,4,4,4
23,50,男性,東芝,3,2,3,3,3,3,3,3,4,3
23,51,男性,東芝,4,3,3,3,3,3,3,3,3,5
23,52,男性,東芝,5,4,5,3,4,2,4,3,4,5
24,53,男性,東芝,3,4,3,3,4,4,3,4,3,3
24,54,男性,東芝,2,4,2,3,2,4,3,2,3,3
24,55,男性,東芝,4,3,3,2,2,4,4,3,4,4
24,56,男性,東芝,5,4,2,5,5,5,4,3,5,3
24,57,男性,東芝,3,4,4,4,4,3,3,4,4,4
24,58,男性,東芝,4,5,3,3,3,4,4,3,4,4
24,59,男性,東芝,2,2,3,2,3,2,1,3,2,2
24,60,男性,東芝,4,4,3,4,4,4,4,4,4,4
24,61,男性,東芝,5,3,3,3,3,3,3,3,4,5
24,62,男性,東芝,5,4,5,5,4,5,4,4,4,5
24,63,男性,東芝,2,2,2,2,2,2,2,2,2,2
24,64,男性,東芝,3,3,3,2,2,2,2,2,2,2
24,65,男性,東芝,2,1,5,4,4,3,3,3,3,4
24,66,女性,東芝,4,3,3,3,4,3,3,3,3,4
24,67,男性,東芝,5,5,4,3,3,4,3,4,4,4
24,68,男性,東芝,5,4,3,5,2,1,4,2,4,5
24,69,男性,東芝,3,2,2,2,2,2,3,2,3,3
24,70,男性,東芝,4,4,3,4,3,3,4,3,3,3
24,71,男性,東芝,3,3,4,3,2,3,2,3,2,3
24,72,男性,東芝,3,4,5,4,5,4,4,5,4,5
24,73,男性,東芝,4,3,3,3,4,3,3,3,3,3
24,74,男性,東芝,1,1,1,1,1,1,1,1,1,1
24,75,男性,東芝,2,2,2,3,3,3,3,3,3,3
24,76,男性,東芝,3,3,3,2,1,2,2,2,2,2
24,77,男性,東芝,1,1,1,1,1,1,1,1,1,1
24,78,男性,東芝,3,3,4,4,3,4,4,4,5,5
24,79,女性,東芝,3,3,3,3,3,3,3,3,3,3
24,80,男性,東芝,1,1,1,1,1,1,1,1,1,1
24,81,男性,東芝,3,3,3,3,3,3,3,3,3,4
24,82,男性,東芝,3,3,2,3,3,2,3,2,4,3
24,83,男性,東芝,4,4,4,4,4,4,4,4,4,4
24,84,男性,東芝,4,3,2,4,4,5,4,4,4,4
24,85,男性,東芝,4,3,5,4,4,5,3,4,5,5
24,86,男性,東芝,2,2,2,2,3,3,2,4,2,1
24,87,男性,東芝,4,4,3,3,3,3,4,3,4,4
24,88,男性,東芝,2,2,4,3,2,5,3,3,4,2
24,89,男性,東芝,3,3,3,1,1,4,4,2,4,3
24,90,男性,東芝,3,3,3,3,5,5,3,3,3,3
24,91,男性,東芝,2,4,3,4,3,3,3,4,5,3
24,92,男性,東芝,3,4,2,3,4,3,4,4,4,4
24,93,男性,東芝,4,3,2,2,4,2,4,4,1,4
24,94,男性,東芝,3,2,3,3,3,3,4,2,3,4
24,95,男性,東芝,5,4,5,5,4,5,5,5,4,5
24,96,男性,東芝,4,3,3,3,3,4,4,3,4,3
24,97,男性,東芝,5,4,4,3,4,4,4,3,4,3
24,98,男性,東芝,3,5,5,4,5,4,4,4,3,4
24,99,男性,東芝,4,3,3,4,3,3,4,4,4,4
24,100,女性,東芝,4,5,2,4,2,4,4,3,3,2
24,101,男性,東芝,4,4,3,3,3,3,2,3,3,3
24,102,男性,東芝,4,4,4,2,2,3,3,3,4,4
24,103,男性,東芝,5,5,5,4,3,4,5,4,5,4
24,104,男性,東芝,5,3,4,2,2,1,2,1,2,3
24,105,女性,東芝,3,3,2,3,3,3,2,3,3,3
24,106,女性,東芝,4,4,3,4,2,2,4,2,4,2
24,107,男性,東芝,3,2,2,3,3,3,3,3,3,2
24,108,男性,東芝,3,4,3,3,3,3,3,3,3,3
24,109,男性,東芝,4,5,4,4,5,4,4,3,4,3
24,110,女性,東芝,4,4,3,4,4,5,5,5,5,5
24,111,男性,東芝,5,5,3,4,4,4,5,4,4,4
24,112,男性,東芝,5,5,5,1,2,2,3,3,2,1
24,113,男性,東芝,5,5,3,5,3,3,5,3,5,5
24,114,男性,東芝,3,4,3,3,3,3,4,4,3,3
24,115,男性,東芝,4,4,4,4,4,2,4,4,4,2
24,116,男性,東芝,3,3,3,4,4,4,4,4,4,4
24,117,男性,東芝,3,3,3,3,3,3,3,3,3,3
24,118,女性,東芝,3,3,3,3,3,3,3,3,3,3
24,119,男性,東芝,2,1,1,1,1,2,1,1,2,1
24,120,男性,東芝,2,3,3,3,3,3,4,4,3,3
23,1,男性,三菱電機,3,3,3,2,2,2,2,3,2,2
23,2,男性,三菱電機,4,4,4,4,4,4,4,4,4,4
23,3,男性,三菱電機,4,2,2,3,3,2,4,2,4,4
23,4,男性,三菱電機,5,5,5,5,4,5,5,5,5,4
23,5,男性,三菱電機,3,2,3,2,2,1,3,2,3,3
23,6,男性,三菱電機,3,4,3,4,4,4,3,4,3,4
23,7,女性,三菱電機,5,4,4,5,5,4,4,4,4,5
23,8,女性,三菱電機,4,4,3,4,2,3,5,5,5,4
23,9,男性,三菱電機,3,3,3,3,3,3,3,3,3,3
23,10,女性,三菱電機,4,4,4,4,3,4,3,4,3,3
23,11,女性,三菱電機,4,3,2,2,1,3,4,3,4,3
23,12,男性,三菱電機,4,5,4,4,5,3,4,4,4,5
23,13,男性,三菱電機,5,4,5,4,4,3,5,3,5,4
23,14,男性,三菱電機,5,2,3,4,3,4,4,4,4,3
23,15,男性,三菱電機,3,1,2,3,3,4,1,3,1,3
23,16,男性,三菱電機,5,5,5,4,4,4,4,3,3,4
23,17,男性,三菱電機,4,3,3,1,1,4,5,4,5,4
23,18,男性,三菱電機,2,2,3,2,4,2,3,2,2,3
23,19,男性,三菱電機,1,1,1,1,1,1,2,2,2,1
23,20,男性,三菱電機,2,2,2,2,2,3,2,2,2,2
23,21,男性,三菱電機,3,2,4,2,3,4,2,3,4,3
23,22,男性,三菱電機,5,4,4,5,4,5,5,5,5,5
23,23,男性,三菱電機,2,2,2,2,2,2,2,2,2,2
23,24,女性,三菱電機,5,4,3,5,5,5,5,4,5,5
23,25,男性,三菱電機,2,3,3,3,4,5,4,3,2,3
23,26,男性,三菱電機,1,4,3,3,3,3,2,4,2,2
23,27,男性,三菱電機,3,4,3,3,3,3,3,3,3,3
23,28,女性,三菱電機,3,3,3,3,3,3,3,3,3,3
23,29,女性,三菱電機,3,3,3,2,2,2,2,3,2,2
23,30,男性,三菱電機,3,4,3,3,4,4,3,3,3,3
23,31,女性,三菱電機,3,3,3,3,3,3,3,3,3,3
23,32,男性,三菱電機,3,4,2,4,4,3,2,4,4,2
23,33,女性,三菱電機,4,4,3,4,4,3,4,3,3,3
23,34,女性,三菱電機,4,4,2,3,3,3,3,3,3,4
23,35,男性,三菱電機,4,3,3,3,4,4,4,4,4,4
23,36,男性,三菱電機,5,2,3,4,3,4,4,3,4,3
23,37,女性,三菱電機,1,2,4,3,2,3,2,3,1,2
23,38,男性,三菱電機,4,3,3,4,3,3,3,3,5,4
23,39,男性,三菱電機,5,5,4,3,2,4,5,4,5,4
23,40,女性,三菱電機,5,5,5,5,5,5,5,5,5,5
23,41,女性,三菱電機,5,4,3,4,4,4,4,3,5,3
23,42,男性,三菱電機,4,2,2,4,4,4,4,4,4,4
23,43,男性,三菱電機,1,1,2,1,1,1,2,3,1,2
23,44,男性,三菱電機,4,4,4,4,4,4,4,4,4,4
23,45,男性,三菱電機,1,1,2,1,2,2,2,1,1,1
23,46,男性,三菱電機,2,4,2,2,3,2,3,3,2,3
23,47,男性,三菱電機,3,3,4,4,3,4,4,3,4,3
23,48,男性,三菱電機,2,2,2,2,2,2,3,3,3,5
23,49,男性,三菱電機,5,3,3,4,4,5,4,5,5,5
23,50,男性,三菱電機,3,3,3,3,4,3,3,3,3,3
23,51,男性,三菱電機,2,2,2,3,4,3,2,3,2,3
23,52,男性,三菱電機,4,3,5,5,3,5,3,4,5,5
24,53,男性,三菱電機,4,3,2,3,3,4,2,2,3,4
24,54,男性,三菱電機,2,4,2,4,2,2,4,3,2,1
24,55,男性,三菱電機,2,3,3,4,4,4,3,2,4,3
24,56,男性,三菱電機,4,4,2,3,3,4,3,4,3,3
24,57,男性,三菱電機,4,4,3,4,3,3,3,4,4,4
24,58,男性,三菱電機,4,3,4,4,4,3,3,3,4,4
24,59,男性,三菱電機,2,3,2,2,3,1,1,2,1,3
24,60,男性,三菱電機,4,4,4,4,4,4,4,4,4,4
24,61,男性,三菱電機,5,4,3,4,3,3,3,3,4,3
24,62,男性,三菱電機,4,3,4,3,3,4,3,4,3,3
24,63,男性,三菱電機,1,1,1,1,1,1,1,1,1,1
24,64,男性,三菱電機,2,2,4,2,3,2,3,3,2,4
24,65,男性,三菱電機,4,5,2,4,4,4,4,4,4,2
24,66,女性,三菱電機,4,3,2,3,3,3,4,3,3,3
24,67,男性,三菱電機,5,4,4,5,4,4,4,3,4,4
24,68,男性,三菱電機,5,3,3,4,4,4,4,4,4,5
24,69,男性,三菱電機,2,2,2,2,2,2,2,2,2,2
24,70,男性,三菱電機,3,4,4,3,3,3,4,4,4,3
24,71,男性,三菱電機,2,3,2,1,1,2,1,2,2,2
24,72,男性,三菱電機,4,5,4,4,4,3,5,4,5,4
24,73,男性,三菱電機,4,3,3,3,4,4,3,2,3,3
24,74,男性,三菱電機,1,1,1,1,1,1,1,1,1,1
24,75,男性,三菱電機,3,3,2,3,3,4,4,3,4,3
24,76,男性,三菱電機,3,3,2,3,2,2,3,4,3,5
24,77,男性,三菱電機,1,1,1,1,1,1,1,1,1,2
24,78,男性,三菱電機,5,4,3,4,5,4,3,4,5,5
24,79,女性,三菱電機,4,4,3,4,3,3,3,3,3,3
24,80,男性,三菱電機,1,1,1,1,1,1,1,1,1,1
24,81,男性,三菱電機,3,3,3,3,2,3,3,3,3,3
24,82,男性,三菱電機,4,4,4,5,4,4,5,3,4,3
24,83,男性,三菱電機,4,4,4,4,4,4,4,4,4,4
24,84,男性,三菱電機,5,4,2,4,5,5,4,4,4,4
24,85,男性,三菱電機,4,4,5,3,4,5,4,4,4,5
24,86,男性,三菱電機,1,1,1,2,2,2,3,1,1,1
24,87,男性,三菱電機,4,3,3,4,4,4,4,3,4,4
24,88,男性,三菱電機,4,3,3,3,2,4,3,3,4,3
24,89,男性,三菱電機,4,4,3,3,3,3,3,4,5,5
24,90,男性,三菱電機,4,3,3,4,3,4,4,4,4,3
24,91,男性,三菱電機,2,2,4,3,4,3,5,2,3,2
24,92,男性,三菱電機,3,3,3,3,4,4,4,3,4,4
24,93,男性,三菱電機,4,2,3,4,2,3,2,3,3,2
24,94,男性,三菱電機,3,2,3,3,4,4,4,2,4,4
24,95,男性,三菱電機,4,4,5,4,5,4,5,4,5,5
24,96,男性,三菱電機,5,3,3,4,3,4,5,4,5,4
24,97,男性,三菱電機,3,3,2,3,4,3,2,3,3,2
24,98,男性,三菱電機,3,5,5,4,4,4,4,4,5,5
24,99,男性,三菱電機,4,3,3,4,3,3,4,4,4,4
24,100,女性,三菱電機,4,5,5,4,4,4,4,3,4,3
24,101,男性,三菱電機,2,4,3,3,3,2,2,3,2,2
24,102,男性,三菱電機,4,5,2,2,3,2,3,2,3,4
24,103,男性,三菱電機,4,5,5,4,4,5,5,5,4,5
24,104,男性,三菱電機,5,3,3,3,3,1,4,2,2,3
24,105,女性,三菱電機,2,2,2,2,3,2,2,2,2,2
24,106,女性,三菱電機,4,2,4,2,2,2,4,3,2,4
24,107,男性,三菱電機,3,2,2,3,4,3,3,3,3,2
24,108,男性,三菱電機,3,2,3,2,3,3,3,2,3,4
24,109,男性,三菱電機,5,3,3,4,2,4,5,4,4,4
24,110,女性,三菱電機,5,4,5,4,5,4,4,4,5,4
24,111,男性,三菱電機,4,5,3,4,3,4,4,3,4,4
24,112,男性,三菱電機,2,5,3,4,5,5,3,5,3,5
24,113,男性,三菱電機,4,4,3,4,3,3,4,3,4,4
24,114,男性,三菱電機,2,2,3,3,3,2,2,3,2,2
24,115,男性,三菱電機,2,2,3,3,4,4,2,3,2,3
24,116,男性,三菱電機,3,2,3,3,4,4,4,4,4,4
24,117,男性,三菱電機,3,4,4,3,2,3,3,3,3,3
24,118,女性,三菱電機,3,3,3,3,3,3,3,3,3,3
24,119,男性,三菱電機,1,2,1,1,1,1,1,2,1,1
24,120,男性,三菱電機,3,3,4,4,3,3,2,3,3,3
