year,No.,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
23,51,m,4,4,4,5,3,2,5,5,2,5,5,5,5,5,5,5,4,4,2,1,5,4,2,2,5,2,4,2
23,52,m,2,4,5,3,1,5,5,5,1,5,1,4,5,5,1,5,1,2,1,3,5,1,1,1,2,2,4,3
24,53,m,3,3,4,4,3,3,4,4,2,3,2,3,4,4,3,4,4,1,4,3,3,4,3,3,4,4,4,4
24,54,m,3,4,3,2,3,3,4,2,3,2,2,2,3,2,2,1,3,3,2,3,2,3,4,4,2,3,3,2
24,55,m,2,4,1,2,4,5,4,5,3,4,1,4,5,5,2,2,3,2,4,1,4,5,5,5,4,2,4,3
24,56,m,2,4,1,4,4,5,5,4,5,3,5,3,4,5,5,5,4,4,2,2,4,3,1,2,5,3,4,5
24,57,m,4,3,2,3,4,5,4,5,3,3,5,4,4,5,2,3,4,3,4,2,2,5,3,5,5,2,5,4
24,58,m,4,5,4,2,5,5,5,5,2,4,2,3,5,5,2,2,2,1,5,5,5,4,5,5,5,5,5,3
24,59,m,1,2,2,3,3,1,3,2,3,2,4,1,2,2,4,3,3,2,3,2,2,3,2,4,2,2,3,2
24,60,m,2,4,3,1,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,2,4,3,4,4,4,2,3,3
24,61,m,5,3,4,3,4,3,4,4,1,4,3,5,5,5,5,4,5,3,3,4,4,4,3,3,4,3,1,2
24,62,m,2,4,5,2,1,5,5,5,4,5,4,4,5,5,2,3,3,2,2,3,5,4,1,4,5,4,2,4
24,63,m,2,3,1,1,1,1,1,1,1,1,2,2,2,1,2,1,4,1,2,4,1,1,2,1,1,1,2,2
24,64,m,2,4,2,3,2,3,3,2,3,2,2,3,2,2,2,3,2,3,3,4,3,4,3,3,3,4,3,2
24,65,m,2,4,4,2,3,4,4,5,2,4,3,2,4,5,2,4,1,2,3,2,5,4,4,4,5,4,3,4
24,66,f,1,2,2,1,5,1,5,4,5,5,5,5,1,1,2,1,1,3,1,1,5,1,4,1,5,3,1,5
24,67,m,5,3,3,3,2,5,4,5,3,2,3,3,4,3,1,1,1,1,1,1,4,4,3,4,2,4,3,4
24,68,m,3,5,4,3,4,5,3,5,3,4,3,5,5,4,5,4,4,5,4,5,4,4,5,4,4,3,3,4
24,69,m,3,2,3,4,4,5,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,4,2,4,5,3,2,3
24,70,m,4,2,4,3,4,4,4,4,2,3,4,4,4,5,2,1,2,1,2,2,3,4,2,2,5,3,2,2
24,71,m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,72,m,5,3,4,1,4,4,5,5,1,4,1,4,5,4,1,2,4,1,5,4,2,3,5,4,4,2,5,3
24,73,m,4,2,2,2,4,5,5,5,2,3,2,4,4,4,2,2,3,2,2,4,2,4,5,5,5,4,5,2
24,74,m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,75,m,4,3,2,2,3,4,3,3,2,3,4,3,3,4,2,3,2,2,4,2,4,3,3,4,3,2,4,3
24,76,m,4,5,3,1,1,2,4,5,2,5,5,4,5,5,3,4,4,3,4,2,5,2,1,4,5,4,5,5
24,77,m,2,5,2,4,1,1,2,1,5,2,2,1,1,2,5,5,1,2,2,1,3,5,1,1,2,3,1,2
24,78,m,5,4,1,5,1,3,5,5,1,5,1,5,4,5,1,1,1,1,5,1,5,5,1,1,5,5,4,5
24,79,f,4,4,3,3,4,4,4,4,4,4,5,5,5,5,4,3,3,4,3,1,2,3,1,1,4,2,4,4
24,80,m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,81,m,4,4,3,5,4,4,4,5,3,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4
24,82,m,2,2,4,4,2,4,4,4,3,3,3,4,4,4,4,3,4,3,2,3,3,3,4,3,4,2,2,2
24,83,m,5,4,1,3,4,5,3,5,1,1,1,1,2,3,1,4,3,2,5,4,3,3,3,3,5,3,1,1
24,84,m,5,2,4,1,4,3,4,5,2,2,2,4,2,3,1,2,4,2,4,3,4,2,4,4,4,3,5,3
24,85,m,5,4,4,4,3,2,4,5,4,4,4,4,5,4,3,3,4,4,3,4,5,3,5,4,3,4,4,3
24,86,m,4,2,4,3,3,4,4,4,4,4,2,4,2,1,2,2,2,2,4,4,1,2,1,1,2,4,3,4
24,87,m,4,5,3,3,4,4,5,5,2,2,3,2,4,5,4,5,3,2,4,4,5,5,3,4,5,2,4,3
24,88,m,2,1,1,1,2,3,4,5,1,5,5,5,5,3,2,4,5,3,5,4,3,2,2,3,5,3,5,5
24,89,m,4,4,1,3,4,4,1,5,1,5,1,2,1,1,1,1,1,1,1,3,1,1,5,5,5,1,5,3
24,90,m,1,3,5,4,5,5,4,5,3,3,3,4,3,5,3,3,3,3,3,3,4,5,2,4,5,4,5,5
24,91,m,4,5,5,5,2,5,2,5,5,3,2,4,2,2,4,3,3,4,5,4,4,5,5,2,4,4,3,2
24,92,m,5,4,3,5,3,5,4,5,3,5,4,4,5,5,4,4,4,3,3,4,4,3,4,2,4,2,2,4
24,93,m,3,3,1,2,3,3,4,4,1,2,1,5,5,5,5,3,1,4,2,3,1,2,4,4,3,5,1,4
24,94,m,4,3,2,3,4,3,4,4,2,4,2,4,4,4,3,3,2,3,4,3,4,2,2,4,4,3,4,2
24,95,m,4,3,2,2,4,5,3,5,2,3,3,5,5,5,2,3,2,2,4,5,5,5,4,5,5,4,5,5
24,96,m,2,4,5,3,5,4,5,5,2,4,4,2,4,4,4,4,2,4,2,2,5,5,5,4,5,4,4,4
24,97,m,4,4,5,4,5,5,4,4,5,5,4,4,4,5,4,3,4,4,4,4,3,4,5,4,5,4,3,4
24,98,m,5,5,3,3,2,4,4,4,3,4,3,3,4,5,3,3,3,2,3,4,4,4,4,3,3,4,3,4
24,99,m,3,2,4,1,4,3,2,5,2,4,2,4,4,3,2,2,3,2,4,2,2,2,5,4,5,3,5,3
24,100,f,2,1,5,5,5,4,5,5,1,1,4,4,5,2,5,5,4,4,5,5,4,2,5,5,5,1,5,2
24,101,m,2,4,2,2,2,4,5,5,5,5,5,4,5,5,2,4,2,4,3,2,4,3,3,2,5,3,4,4
24,102,m,5,2,5,1,4,5,2,5,4,5,2,2,5,2,4,5,5,1,5,1,4,1,1,5,5,1,5,5
24,103,m,5,5,4,5,3,5,5,5,3,3,3,3,3,5,4,3,3,2,4,5,3,5,5,4,5,4,5,4
24,104,m,5,5,5,5,3,5,5,5,2,4,4,4,3,5,1,4,5,5,5,5,5,4,3,2,5,3,4,5
24,105,f,2,3,2,3,3,3,4,4,3,4,3,4,4,4,2,3,2,3,4,2,3,2,3,2,3,2,2,3
24,106,f,1,5,5,5,2,5,5,4,4,5,3,2,4,5,1,1,1,3,5,4,5,5,5,5,5,1,5,5
24,107,m,4,4,3,2,4,3,4,4,4,3,2,2,4,4,2,2,4,2,3,2,4,3,3,4,4,3,4,4
24,108,m,1,2,2,3,2,2,3,1,4,2,2,1,1,1,1,4,2,4,2,4,2,3,2,4,2,4,4,2
24,109,m,3,2,2,4,4,5,4,4,2,4,4,4,4,5,4,4,2,3,3,2,3,4,3,4,4,1,3,1
24,110,f,4,4,5,3,5,5,5,4,3,5,5,5,4,5,4,4,3,3,2,2,4,5,2,3,4,4,5,3
24,111,m,4,2,2,2,5,4,3,5,1,2,3,2,5,5,3,2,2,2,5,3,2,4,5,4,5,2,5,3
